,SUBJECT.NAME,batch,treatment,pod_count,pod_biomass,length_u10,length_rsd,length_mean,length_p95,area_u10,area_rsd,area_mean,area_p95,diameter_u10,diameter_rsd,diameter_mean,diameter_p95,volume_u10,volume_rsd,volume_mean,volume_p95
0,MAGIC.10,1,1,149.0,717.379932959815,14.714348327369501,0.18634545951304374,11.81139707530187,14.691864212765926,6.988302330421573,0.28287940625683256,4.819111818985621,6.941625880535214,0.787765240480037,0.13894934822062335,0.636149777634131,0.778818922973441,3.5966014392406684,0.363071863887306,2.168672967523919,3.5699328052519674
1,MAGIC.10,1,4,313.6666666666667,1515.8727643336842,14.949428463020672,0.2223281560102199,11.611373161942927,14.905053603624964,7.416768203737367,0.3336708242942743,4.832974023792322,7.410305310676179,0.8474073571906752,0.20706491890459255,0.6551529702932588,0.8474073571906752,4.07803878639629,0.44827248175987267,2.2896992907512566,4.070487452757912
2,MAGIC.100,1,1,121.66666666666667,710.4562595600055,15.904317764153467,0.21717742963123768,12.640344199406519,15.866593055564627,8.317982736158577,0.2958714974489111,5.835929694018534,8.294285461600886,0.88243516864289,0.14723095618576673,0.7272890997043313,0.8772711369008945,4.834128015251544,0.38789046161323865,2.9421501786912287,4.820937078009821
3,MAGIC.100,1,4,219.0,1179.1009815715668,17.38731018608681,0.28729070154331476,12.196650736926197,17.37622938711238,8.623773324516637,0.3807986165740435,5.389694297658763,8.6122837368523,0.8474073571906752,0.24325857741248216,0.7034904350562975,0.8474073571906752,5.139048955839187,0.6151296567582013,2.7636491205910354,5.132580935887327
4,MAGIC.105,1,1,136.0,735.6579520024934,14.098938604093098,0.19357410979294212,11.101551037118709,14.058977171698933,7.912855087785961,0.3010322999237764,5.4065320685733385,7.84678995871604,0.9370532063312891,0.1549858447699534,0.7466967771197685,0.9301462573615362,4.587833462404889,0.4122523755726939,2.7536229428163277,4.577605706717466
5,MAGIC.105,1,4,222.66666666666666,1103.258931498526,13.678073883169432,0.2315212469926761,10.536265280744109,13.64665123045564,7.509522687485898,0.3384783419744046,4.95076646986578,7.482294758385522,0.9734851444691994,0.1809105390879123,0.7337649090127826,0.9675838794475338,4.5460940233066855,0.4501272482509798,2.5326032718424027,4.516239172592932
6,MAGIC.107,1,1,89.5,457.3089272654424,14.517810652220453,0.29731250004073295,11.204487794702073,14.511383869627835,7.721361960047059,0.3934909916028202,5.284810575086988,7.712924294106064,0.8637269317555103,0.3511800306589276,0.7293258068092322,0.8604630168425432,4.5284105204826375,0.5488417041030569,2.7692427257393373,4.5204290475863775
7,MAGIC.107,1,4,71.0,294.2004668016629,13.07027818905233,0.31336430179347813,9.041216727526466,13.04833160220663,6.832714164133715,0.4385131083035501,4.046739651693648,6.789508527187625,0.9472566526043028,0.23026768263275976,0.6853519579936783,0.9322797457986773,3.999339233287463,0.5308116822497143,1.9787388751950286,3.9735308778145275
8,MAGIC.108,1,1,145.33333333333334,731.9250328436332,16.765017065846788,0.2585685322978431,11.986674135157605,16.67569955552103,8.279684110610797,0.3821726795550932,5.046618941371595,8.196025550429864,0.8474073571906752,0.1673278050219028,0.6525675413553805,0.8474073571906752,4.3969790805741695,0.4934856949130156,2.3315130222605314,4.39108457963282
9,MAGIC.108,1,4,262.0,1252.1508224757645,16.005777369432156,0.28470580434273457,11.42619755470111,15.995423531041652,7.823691100182535,0.3943734606604881,4.798177946814205,7.8168691575068365,0.8474073571906752,0.260195567246033,0.6676925600086093,0.8474073571906752,4.0665684061860965,0.5427280800991139,2.2833713382164036,4.025370623931149
10,MAGIC.109,1,1,132.0,724.9822101310496,17.195087506425622,0.25587186818402136,13.207356143045104,17.181995082674508,8.18752804288645,0.37093846603527186,5.532782500238787,8.181663565849446,0.8474073571906752,0.20326732035453732,0.6480490291360609,0.8474073571906752,4.128699632324644,0.44324511882785567,2.5337458044386945,4.109008812963812
11,MAGIC.109,1,4,222.0,1061.7348435803933,15.41100052890281,0.211864942763334,12.085094922527679,15.368366441127073,6.85246189293179,0.30938497643278207,4.800682479981319,6.840373889243271,0.8175862988353559,0.2111887692637787,0.6426634650050269,0.8175862988353559,3.4146684642401,0.4038883310287585,2.173453128292866,3.3945315745377584
12,MAGIC.11,1,1,147.0,743.117806159972,15.960395832240911,0.21939535735488302,12.28687296423262,15.91600966104913,7.991247586954077,0.33017742972923625,5.057953892063272,7.965036965094813,0.8474073571906752,0.15947084762743666,0.6484240286891657,0.8474073571906752,4.161199042920193,0.4365946546957226,2.321492225573723,4.128827080993646
13,MAGIC.11,1,4,367.3333333333333,1705.181673584315,15.179834406439069,0.23293280791477602,11.769199760429546,15.173680207817542,6.85545397305271,0.32704542514493956,4.655258393711226,6.850786328064074,0.8474073571906752,0.21696987698585865,0.6432777061793691,0.8474073571906752,3.6338801749237977,0.46363525170301173,2.1549880132497337,3.6255641492714066
14,MAGIC.111,1,1,142.66666666666666,715.4434587055556,14.87815188346429,0.21382863630106108,11.583111436131361,14.850306460802164,7.467035149768829,0.3169031407102298,5.016476403248904,7.452433798778738,0.8474073571906752,0.38913713012248685,0.6884921909991905,0.8474073571906752,4.038848320678128,1.0814402158532694,2.589581604184235,4.01284879220169
15,MAGIC.111,1,4,188.33333333333334,845.0292519105675,14.735325633436636,0.2770579431443956,10.759687895914512,14.711159543951611,6.903327254987436,0.37217127639286735,4.550559566737775,6.884716516635311,0.8474073571906752,0.4273218739066864,0.6788301947543447,0.8474073571906752,3.885909917875549,0.7310494983253267,2.2923865042192895,3.874885608006863
